mirror_id,original_campo_mirror_id,ring_index,campo_zone,zone_row_index,normalized_zone_row,azimuth_rad,centered_azimuth_feature,nominal_ring_count,actual_ring_count,mirror_width_m,mirror_height_m,x_m,y_m,z_m
1269,1269,22,2,10,0.625,0.6544984694978735,-0.05364184058361299,144,45,6.656364038027926,6.145274258526766,255.84947752898228,151.6294768047124,5.229335252215359
1270,1270,22,2,10,0.625,0.6981317007977319,-0.08095073775587025,144,45,6.656364038027926,6.145274258526766,270.14995737853917,140.15212830582345,5.229335252215359
1271,1271,22,2,10,0.625,0.7417649320975901,-0.10971784406472418,144,45,6.656364038027926,6.145274258526766,283.9361914299062,128.06192552946538,5.229335252215359
1272,1272,22,2,10,0.625,0.7853981633974483,-0.1398883996883007,144,45,6.656364038027926,6.145274258526766,297.1819368030082,115.38188286378494,5.229335252215359
1273,1273,22,2,10,0.625,0.8290313946973065,-0.17140497325918802,144,45,6.656364038027926,6.145274258526766,309.8619794686886,102.13613749068293,5.229335252215359
1274,1274,22,2,10,0.625,0.8726646259971647,-0.2042075711883088,144,45,6.656364038027926,6.145274258526766,321.95218224504674,88.34990343931594,5.229335252215359
1275,1275,22,2,10,0.625,0.916297857297023,-0.2382337518661276,144,45,6.656364038027926,6.145274258526766,333.42953074393563,74.04942358975902,5.229335252215359
1276,1276,22,2,10,0.625,0.9599310885968811,-0.2734187445238021,144,45,6.656364038027926,6.145274258526766,344.27217718015777,59.26191971819205,5.229335252215359
1277,1277,22,2,10,0.625,-0.9599310885968813,-0.2734187445238022,144,45,6.656364038027926,6.145274258526766,-344.27217718015777,59.26191971819199,5.229335252215359
1278,1278,22,2,10,0.625,-0.916297857297023,-0.2382337518661276,144,45,6.656364038027926,6.145274258526766,-333.42953074393563,74.04942358975902,5.229335252215359
1279,1279,22,2,10,0.625,-0.8726646259971649,-0.204207571188309,144,45,6.656364038027926,6.145274258526766,-321.9521822450468,88.34990343931588,5.229335252215359
1280,1280,22,2,10,0.625,-0.8290313946973067,-0.17140497325918813,144,45,6.656364038027926,6.145274258526766,-309.8619794686887,102.13613749068287,5.229335252215359
1281,1281,22,2,10,0.625,-0.7853981633974485,-0.1398883996883009,144,45,6.656364038027926,6.145274258526766,-297.1819368030083,115.38188286378488,5.229335252215359
1282,1282,22,2,10,0.625,-0.7417649320975903,-0.1097178440647244,144,45,6.656364038027926,6.145274258526766,-283.9361914299063,128.06192552946527,5.229335252215359
1283,1283,22,2,10,0.625,-0.6981317007977321,-0.08095073775587036,144,45,6.656364038027926,6.145274258526766,-270.1499573785393,140.1521283058234,5.229335252215359
1284,1284,22,2,10,0.625,-0.6544984694978738,-0.05364184058361321,144,45,6.656364038027926,6.145274258526766,-255.8494775289824,151.62947680471228,5.229335252215359
1285,1285,22,2,10,0.625,-0.6108652381980157,-0.027843136585856687,144,45,6.656364038027926,6.145274258526766,-241.06197365741548,162.47212324093442,5.229335252215359
1286,1286,22,2,10,0.625,-0.5672320068981567,-0.003603735061962321,144,45,6.656364038027926,6.145274258526766,-225.81559461792435,172.6594280207429,5.229335252215359
1287,1287,22,2,10,0.625,-0.5235987755982985,0.019030222909590555,144,45,6.656364038027926,6.145274258526766,-210.139362759559,182.17199903048044,5.229335252215359
1288,1288,22,2,10,0.625,-0.47996554429844124,0.04001565230337312,144,45,6.656364038027926,6.145274258526766,-194.06311868064054,190.99172855057083,5.229335252215359
1289,1289,22,2,10,0.625,-0.43633231299858305,0.05931260616180145,144,45,6.656364038027926,6.145274258526766,-177.61746442548653,199.10182772459228,5.229335252215359
1290,1290,22,2,10,0.625,-0.3926990816987248,0.07688435163643825,144,45,6.656364038027926,6.145274258526766,-160.83370523168188,206.48685851781897,5.229335252215359
1291,1291,22,2,10,0.625,-0.3490658503988658,0.09269743991106016,144,45,6.656364038027926,6.145274258526766,-143.74378993877818,213.1327631043984,5.229335252215359
1292,1292,22,2,10,0.625,-0.30543261909900754,0.10672176987337867,144,45,6.656364038027926,6.145274258526766,-126.38025017186337,219.02689062722123,5.229335252215359
1293,1293,22,2,10,0.625,-0.2617993877991494,0.11893064541422005,144,45,6.656364038027926,6.145274258526766,-108.77613841576259,224.15802127954754,5.229335252215359
1294,1294,22,2,10,0.625,-0.2181661564992912,0.1293008262450851,144,45,6.656364038027926,6.145274258526766,-90.96496509775587,228.51638766254632,5.229335252215359
1295,1295,22,2,10,0.625,-0.17453292519943303,0.13781257213735976,144,45,6.656364038027926,6.145274258526766,-72.98063479857493,232.0936933780941,5.229335252215359
1296,1296,22,2,10,0.625,-0.1308996938995757,0.144449680498962,144,45,6.656364038027926,6.145274258526766,-54.857381713107145,234.8831288214406,5.229335252215359
1297,1297,22,2,10,0.625,-0.08726646259971663,0.14919951721689728,144,45,6.656364038027926,6.145274258526766,-36.629704483657974,236.87938414367835,5.229335252215359
